Test Suite,Description,Object,Action,DataColumn,WaitAfter
signInAfterChangePSWD,Enter the Username in the UserName field,/html/body/div[1]/div/div/div/div[1]/div/div[2]/div[1]/form/div[1]/div/div/input,input,userName,
signInAfterChangePSWD,Enter the Password in the Password field,/html/body/div[1]/div/div/div/div[1]/div/div[2]/div[1]/form/div[2]/div/div/input,input,password,
signInAfterChangePSWD,Click on Login button,/html/body/div[1]/div/div/div/div[1]/div/div[2]/div[1]/form/div[4]/button,click,,5
